KENTT_2,,KX,KY
A01,LAUTTASAAREN SILTA,"24,902792000","60,162223000"
A02,LAPINLAHDEN SILTA,"24,905524000","60,166928000"
A03,MERIKANNONTIE,"24,916564000","60,177860000"
A04,MECHELININKATU,"24,921034000","60,176114000"
A05,RUNEBERGINKATU,"24,925456000","60,176599000"
A06,TÖÖLÖNKATU,"24,932058000","60,176681000"
A07,MANNERHEIMINTIE,"24,932689000","60,177513000"
A08,PITKÄSILTA,"24,953375000","60,176054000"
A09,HAKANIEMEN SILTA,"24,960586000","60,176749000"
B00,ILMALANKATU,",",","
B01,LÄNSIVÄYLÄ,"24,848182000","60,165352000"
B02,MEILAHDEN SILTA,"24,886938000","60,192141000"
B03,MUNKKINIEMEN SILTA,"24,890875000","60,195630000"
B04,MANNERHEIMINTIE,"24,902256000","60,205950000"
B05,VETURITIE,"24,918291000","60,206690000"
B06,RATAPIHANTIE,"24,930443000","60,204727000"
B07,MÄKELÄNKATU,"24,936164000","60,204805000"
B08,HÄMEENTIEN SILTA,"24,948957000","60,199505000"
B09,HERMANNIN RANTATIE,"24,966245000","60,201294000"
B10,KYLÄSAARENKATU,"24,972385000","60,198192000"
B11,KULOSAAREN SILTA,"24,973697000","60,198681000"
B12,,"24,989727000","60,185950000"
C00,LÄNSIMÄENTIE,",",","
C01,LÄNSIVÄYLÄ,"24,847282000","60,165474000"
C02,OTANIEMEN SILTA,"24,846853000","60,180704000"
C03,TURUNVÄYLÄ,"24,849878000","60,205194000"
C04,TURUNTIE,"24,851515000","60,224184000"
C05,KEHÄ 1,"24,841153000","60,229623000"
C06,VIHDINTIE,"24,835522000","60,250908000"
C07,VANHA NURMIJÄRVENT,"24,870147000","60,251660000"
C08,HÄMEENLINNANVÄYLÄ,"24,880230000","60,259983000"
C09,TUUSULANVÄYLÄ,"24,970437000","60,263894000"
C10,VALIMOT.+KIRKKOT.,"24,975201000","60,265524000"
C11,SUUTARILANTIE,"25,14979000","60,281529000"
C12,TIKKURITIE,"25,31814000","60,281067000"
C13,V.PORVOONTIE,"25,79988000","60,273881000"
C14,LAHDENVÄYLÄ,"25,88681000","60,271668000"
C15,PORVOONVÄYLÄ,"25,87439000","60,253603000"
C16,ITÄVÄYLÄ,"25,110337000","60,240114000"
C17,SATAMATUNNELI,"25,137199000","60,233710000"
D01,KEHÄ 1,"24,915116000","60,238374000"
D02,PIRKKOLANTIE,"24,917331000","60,229279000"
D03,METSÄLÄNTIE,"24,923890000","60,220062000"
D04,HAKAMÄENTIE,"24,911105000","60,208113000"
D05,NORDENSKIÖLDINKATU,"24,929129000","60,191473000"
D06,HELSINGINKATU,"24,936415000","60,184702000"
D07,KAIVOKATU,"24,944184000","60,170223000"
D09,POHJOISESPLANADI,"24,947210000","60,167531000"
D10,ETELÄESPLANADI,"24,948192000","60,166878000"
D11,TEHTAANKATU,"24,953913000","60,158557000"
D12,PUISTOKATU,"24,955302000","60,156762000"
D13,EHRENSTRÖMINTIE,"24,955954000","60,154764000"
F01,KEHÄ III,"25,149334000","60,245150000"
F02,SOTUNGINTIE,"25,158515000","60,255411000"
F03,PORVOONVÄYLÄ 1,"25,148871000","60,261096000"
F04,KNUTERSINTIE,"25,199601000","60,280983000"
F05,PORVOONVÄYLÄ 2,"25,254729000","60,274942000"
F06,UUSI PORVOONTTIE,"25,233577000","60,261209000"