"","day","rrday1","snow1","tday1","tmin1","tmax1","date","file","main.site","weekday","yday","count","name","rrday","snow","tday","tmax","tmin","year","holiday","earth.phase","dsnow","dtemp","july","near.july","main.site.named","predCount","residuals"
"2162",560,11.8,0,14.8,12.5,18,2005-06-13,"data/2005_06_kesakuu/12102312.205","1210","Monday",164,397,"Helsinki Kaisaniemi",0.9,0,14.3,17.2,12.1,5,FALSE,0.993746580436178,0,0.5,FALSE,FALSE,"1210
Tuntematon",1674.75114120483,-3.15910827927072
"10044",2112,0,0,13,7.5,17.9,2009-09-12,"data/2009_09_syyskuu/11703609.209","1170","Saturday",255,611,"Helsinki Kaisaniemi",3.3,0,12.5,17.4,8.1,9,FALSE,0.115934599595501,0,0.5,FALSE,FALSE,"1170
Lauttasaaren silta",2546.31210252791,-3.12928301859483
"4676",1214,0,0,6.3,0.2,11.8,2007-03-29,"data/2007_03_maaliskuu/11700909.207","1170","Thursday",88,708,"Helsinki Kaisaniemi",0,0,5.6,11.7,-0.5,7,FALSE,0.150055398344653,0,0.7,FALSE,FALSE,"1170
Lauttasaaren silta",2943.56701667542,-3.12469824737999
"10382",2157,3.1,0,8.4,6.2,9.2,2009-10-27,"data/2009_10_lokakuu/11704017.209","1170","Tuesday",300,745,"Helsinki Kaisaniemi",2.6,0,7.9,9.6,6.1,9,FALSE,-0.611886401268724,0,0.5,FALSE,FALSE,"1170
Lauttasaaren silta",3049.66706509043,-3.06302867381956
"10508",2184,11,0,4.7,3,6.2,2009-11-23,"data/2009_11_marraskuu/11704517.209","1170","Monday",327,535,"Helsinki Kaisaniemi",2.8,0,7.4,8.1,5.5,9,FALSE,-0.901501684131884,0,-2.7,FALSE,FALSE,"1170
Lauttasaaren silta",2174.50273928857,-3.02275014002439
"2",33,0,0,-11.9,-12.8,-9.3,2004-01-03,"data/2004_01_tammikuu/11700120.204","1170","Saturday",3,91,"Helsinki Kaisaniemi",0,0,-10.2,-4.2,-15.4,4,FALSE,-0.966847813605277,0,-1.7,FALSE,FALSE,"1170
Lauttasaaren silta",386.895722615012,-3.00887332949669
"10480",2179,5,0,4.7,4.3,5.2,2009-11-18,"data/2009_11_marraskuu/11704517.209","1170","Wednesday",322,525,"Helsinki Kaisaniemi",5.8,0,6.3,7.3,4.3,9,FALSE,-0.860961015888995,0,-1.6,FALSE,FALSE,"1170
Lauttasaaren silta",2110.98853695045,-2.97916175923965
"1",32,0,0,-7.2,-9.9,-1.1,2004-01-02,"data/2004_01_tammikuu/11700120.204","1170","Friday",2,144,"Helsinki Kaisaniemi",0,0,-11.9,-9.3,-12.8,4,FALSE,-0.97110005188295,0,4.7,FALSE,FALSE,"1170
Lauttasaaren silta",594.838112533301,-2.97900137667155
"8039",1768,10.1,0,9.8,8.9,10.8,2008-10-03,"data/2008_10_lokakuu/11704009.208","1170","Friday",277,683,"Helsinki Kaisaniemi",4.6,0,10.5,12.6,8.3,8,FALSE,-0.259511797069799,0,-0.699999999999999,FALSE,FALSE,"1170
Lauttasaaren silta",2712.24691449213,-2.93949921720867
"10537",2190,4.5,0,5.6,4.7,6.8,2009-11-29,"data/2009_12_joulukuu/11704817.209","1170","Sunday",333,199,"Helsinki Kaisaniemi",2.7,0,5.5,6.2,4.1,9,FALSE,-0.941317317512847,0,0.0999999999999996,FALSE,FALSE,"1170
Lauttasaaren silta",789.26941116651,-2.86162754985683
"6558",1499,3,6,-3.5,-5.1,-2.8,2008-01-08,"data/2008_01_tammikuu/11700109.208","1170","Tuesday",8,188,"Helsinki Kaisaniemi",1.3,7,-2.3,-1.7,-3.3,8,FALSE,-0.941317317512847,-1,-1.2,FALSE,FALSE,"1170
Lauttasaaren silta",745.253884513777,-2.85384908423448
"6286",1434,2.1,0,0.3,-0.5,4.2,2007-11-04,"data/2007_11_marraskuu/11704419.207","1170","Sunday",308,200,"Helsinki Kaisaniemi",0,0,-1.3,1.7,-2.4,7,FALSE,-0.714673386042961,0,1.6,FALSE,FALSE,"1170
Lauttasaaren silta",790.024268721942,-2.84677425864728
"3937",1020,0,0,9.9,5.8,15.2,2006-09-16,"data/2006_09_syyskuu/11703509.206","1170","Saturday",259,595,"Helsinki Kaisaniemi",0,0,9.8,15.2,3,6,FALSE,0.0473213883224323,0,0.0999999999999996,FALSE,FALSE,"1170
Lauttasaaren silta",2284.2871173326,-2.80496998630649
"10472",2177,0,0,4.5,2.5,5.6,2009-11-16,"data/2009_11_marraskuu/11704517.209","1170","Monday",320,608,"Helsinki Kaisaniemi",0,0,5.3,6.5,3.9,9,FALSE,-0.842941537354783,0,-0.8,FALSE,FALSE,"1170
Lauttasaaren silta",2329.90751758381,-2.79874036304122
"3321",885,0,0,11.3,8.2,15.1,2006-05-04,"data/2006_05_toukokuu/11701820.206","1170","Thursday",124,1233,"Helsinki Kaisaniemi",0,0,11.4,16.4,4.4,6,FALSE,0.696376225596872,0,-0.0999999999999996,FALSE,FALSE,"1170
Lauttasaaren silta",4688.43907292868,-2.78610708517896
"3974",1025,1.1,0,14.3,12.9,17.4,2006-09-21,"data/2006_09_syyskuu/11703509.206","1170","Thursday",264,1223,"Helsinki Kaisaniemi",0,0,14.3,17.7,9.5,6,FALSE,-0.038722280892174,0,0,FALSE,FALSE,"1170
Lauttasaaren silta",4636.61329074862,-2.77477359226132
"131",121,0,22,4.4,0,11.8,2004-03-31,"data/2004_04_huhtikuu/11201410.204","1120","Wednesday",91,15,"Helsinki Kaisaniemi",0,20,3.8,8.3,0.4,4,FALSE,0.200890555130635,2,0.600000000000001,FALSE,FALSE,"1120
Veräjämäki",74.7730133103551,-2.72276393061556
"1432",369,0,17,-4.3,-7.6,1.1,2004-12-04,"data/2004_12_joulukuu/11704920.204","1170","Saturday",339,55,"Helsinki Kaisaniemi",6,16,-2.4,3.5,-11.4,4,FALSE,-0.97110005188295,1,-1.9,FALSE,FALSE,"1170
Lauttasaaren silta",222.613984746509,-2.69921685794201
"4167",1061,29.7,0,5.2,-0.4,9.5,2006-10-27,"data/2006_10_lokakuu/12104014.206","1210","Friday",300,161,"Helsinki Kaisaniemi",5.8,0,9.3,13,6.7,6,FALSE,-0.611886401268724,0,-4.1,FALSE,FALSE,"1210
Tuntematon",614.812801975902,-2.69884293014237
"8461",1868,0,5,-0.7,-7.2,3.7,2009-01-11,"data/2009_01_tammikuu/11700209.209","1170","Sunday",11,102,"Helsinki Kaisaniemi",1.2,2,3.3,4,1.8,9,FALSE,-0.922639548840488,3,-4,FALSE,FALSE,"1170
Lauttasaaren silta",394.846465356479,-2.68364519158167
"5626",1342,0,0,16.4,13.5,19.9,2007-08-04,"data/2007_08_elokuu/11703109.207","1170","Saturday",216,1010,"Helsinki Kaisaniemi",0,0,18.7,24.8,11.3,7,FALSE,0.70862667826446,0,-2.3,FALSE,TRUE,"1170
Lauttasaaren silta",3739.59597036181,-2.68353142278187
"6994",1595,6.1,0,4.6,1.8,7.7,2008-04-13,"data/2008_04_huhtikuu/10201418.208","1020","Sunday",104,100,"Helsinki Kaisaniemi",13.1,0,2.8,5.8,1.8,8,FALSE,0.413278607782904,0,1.8,FALSE,FALSE,"1020
Kuusisaarensilta",386.416326719123,-2.67392789763809
"10188",2127,0,0,12.8,8.5,16.6,2009-09-27,"data/2009_09_syyskuu/11703609.209","1170","Sunday",270,536,"Helsinki Kaisaniemi",1,0,13.4,15,11.2,9,FALSE,-0.141540295217043,0,-0.6,FALSE,FALSE,"1170
Lauttasaaren silta",1958.27372442984,-2.61874344166242
"6759",1546,0,0,2.7,0.8,5.6,2008-02-24,"data/2008_02_helmikuu/11600501.208","1160","Sunday",55,59,"Helsinki Kaisaniemi",6.1,0,1.9,4.6,-0.8,8,FALSE,-0.405425728359997,0,0.8,FALSE,FALSE,"1160
Kantelettarentie",231.496424918157,-2.61218983190608
"3323",886,0,0,11.4,4.4,16.4,2006-05-05,"data/2006_05_toukokuu/11701820.206","1170","Friday",125,1250,"Helsinki Kaisaniemi",0,0,13.9,18,8.4,6,FALSE,0.70862667826446,0,-2.5,FALSE,FALSE,"1170
Lauttasaaren silta",4499.94167184226,-2.58528296853036
"5631",1343,0,0,18.7,11.3,24.8,2007-08-05,"data/2007_08_elokuu/11703109.207","1170","Sunday",217,1090,"Helsinki Kaisaniemi",0,0,18.9,23,13.7,7,FALSE,0.696376225596873,0,-0.199999999999999,FALSE,TRUE,"1170
Lauttasaaren silta",3910.84223876546,-2.57122339560579
"10308",2146,0.7,0,1.7,-1.6,4.7,2009-10-16,"data/2009_10_lokakuu/11704017.209","1170","Friday",289,648,"Helsinki Kaisaniemi",0,0,5.4,7,2.7,9,FALSE,-0.452072203932304,0,-3.7,FALSE,FALSE,"1170
Lauttasaaren silta",2331.63859285595,-2.57013640641845
"1431",368,6.3,17,1.7,0.4,3.4,2004-12-03,"data/2004_12_joulukuu/11704920.204","1170","Friday",338,149,"Helsinki Kaisaniemi",0,17,-4.3,1.1,-7.6,4,FALSE,-0.966847813605277,0,6,FALSE,FALSE,"1170
Lauttasaaren silta",548.442386138777,-2.55983224232148
"10450",2173,0,0,0.5,-0.3,2.2,2009-11-12,"data/2009_11_marraskuu/11704517.209","1170","Thursday",316,478,"Helsinki Kaisaniemi",0,0,0,0.8,-1.8,9,FALSE,-0.803927961832821,0,0.5,FALSE,FALSE,"1170
Lauttasaaren silta",1708.65803039908,-2.53718432169985
"10538",2191,2.7,0,5.5,4.1,6.2,2009-11-30,"data/2009_12_joulukuu/11704817.209","1170","Monday",334,567,"Helsinki Kaisaniemi",0.2,0,5.7,6.5,3.9,9,FALSE,-0.946987753076075,0,-0.2,FALSE,FALSE,"1170
Lauttasaaren silta",2016.91513926894,-2.52580204203272
"10162",2124,0.5,0,14.1,12.3,17.2,2009-09-24,"data/2009_09_syyskuu/11703609.209","1170","Thursday",267,1387,"Helsinki Kaisaniemi",0,0,11.4,15.7,7.1,9,FALSE,-0.0902516100310408,0,2.7,FALSE,FALSE,"1170
Lauttasaaren silta",4906.51295086287,-2.52467432158137
"10198",2128,1,0,13.4,11.2,15,2009-09-28,"data/2009_09_syyskuu/11703609.209","1170","Monday",271,1190,"Helsinki Kaisaniemi",0.5,0,11.6,13.7,7.9,9,FALSE,-0.158559385103135,0,1.8,FALSE,FALSE,"1170
Lauttasaaren silta",4191.9090466009,-2.50779309291159
"10446",2172,3.2,0,0.4,-0.4,1.7,2009-11-11,"data/2009_11_marraskuu/11704517.209","1170","Wednesday",315,467,"Helsinki Kaisaniemi",0,0,0.5,2.2,-0.3,9,FALSE,-0.793571608952147,0,-0.1,FALSE,FALSE,"1170
Lauttasaaren silta",1649.82006597878,-2.49532250200172
"10021",2110,0,0,17.4,15.3,19.6,2009-09-10,"data/2009_09_syyskuu/11703609.209","1170","Thursday",253,1607,"Helsinki Kaisaniemi",0,0,15.6,19.1,12.7,9,FALSE,0.150055398344653,0,1.8,FALSE,FALSE,"1170
Lauttasaaren silta",5621.4938527105,-2.48726885389338
"10250",2134,19.4,0,6.4,0.5,11.3,2009-10-04,"data/2009_10_lokakuu/11204013.209","1120","Sunday",277,109,"Helsinki Kaisaniemi",27.2,0,9.6,11.9,6.4,9,FALSE,-0.259511797069799,0,-3.2,FALSE,FALSE,"1120
Veräjämäki",394.978812892899,-2.4663267253035
"7929",1755,0.4,0,8.4,6.6,10.8,2008-09-20,"data/2008_09_syyskuu/11703509.208","1170","Saturday",264,472,"Helsinki Kaisaniemi",1.4,0,8.4,11.5,7.3,8,FALSE,-0.038722280892174,0,0,FALSE,FALSE,"1170
Lauttasaaren silta",1651.88295533126,-2.46327878675607
"3328",888,0,0,15.6,8.9,20.6,2006-05-07,"data/2006_05_toukokuu/11701820.206","1170","Sunday",127,1133,"Helsinki Kaisaniemi",0,0,17.1,24.7,9.7,6,FALSE,0.732494071613579,0,-1.5,FALSE,FALSE,"1170
Lauttasaaren silta",3937.99570663681,-2.46053652950236
"10137",2122,0,0,15.2,13.8,18.2,2009-09-22,"data/2009_09_syyskuu/11703609.209","1170","Tuesday",265,1373,"Helsinki Kaisaniemi",1.6,0,14.1,17.4,11.3,9,FALSE,-0.0559169901006031,0,1.1,FALSE,FALSE,"1170
Lauttasaaren silta",4767.77002772682,-2.45998906372535
"10541",2192,0.2,0,5.7,3.9,6.5,2009-12-01,"data/2009_12_joulukuu/11704817.209","1170","Tuesday",335,562,"Helsinki Kaisaniemi",0.2,0,5.7,6.6,5.1,9,FALSE,-0.952377575730397,0,0,FALSE,FALSE,"1170
Lauttasaaren silta",1954.11649050559,-2.44670098615786
"10079",2116,0,0,12.9,8,18,2009-09-16,"data/2009_09_syyskuu/11703609.209","1170","Wednesday",259,1180,"Helsinki Kaisaniemi",13.5,0,12.7,15.5,8.9,9,FALSE,0.0473213883224323,0,0.200000000000001,FALSE,FALSE,"1170
Lauttasaaren silta",4079.59693565732,-2.44283747759136
"10054",2113,3.3,0,12.5,8.1,17.4,2009-09-13,"data/2009_09_syyskuu/11703609.209","1170","Sunday",256,811,"Helsinki Kaisaniemi",0,0,13.2,17.9,8.9,9,FALSE,0.0988201387328721,0,-0.699999999999999,FALSE,FALSE,"1170
Lauttasaaren silta",2803.28409424039,-2.43564195259484
"3723",979,0,0,17.8,12.2,22.4,2006-08-06,"data/2006_08_elokuu/12103110.206","1210","Sunday",218,703,"Helsinki Kaisaniemi",0,0,19.8,25.7,13.3,6,FALSE,0.68391942162461,0,-2,FALSE,TRUE,"1210
Tuntematon",2428.71526147196,-2.43070260702519
"10127",2121,0.2,0,14.8,12.4,18.3,2009-09-21,"data/2009_09_syyskuu/11703609.209","1170","Monday",264,1456,"Helsinki Kaisaniemi",0,0,15.2,18.2,13.8,9,FALSE,-0.038722280892174,0,-0.399999999999999,FALSE,FALSE,"1170
Lauttasaaren silta",5001.77073101631,-2.42368973410236
"10391",2158,2.6,0,7.9,6.1,9.6,2009-10-28,"data/2009_10_lokakuu/11704017.209","1170","Wednesday",301,718,"Helsinki Kaisaniemi",0,0,3.1,7.4,1.6,9,FALSE,-0.625410572985246,0,4.8,FALSE,FALSE,"1170
Lauttasaaren silta",2473.4261099426,-2.421417799135
"617",209,0.2,0,15.3,12.6,18.2,2004-06-27,"data/2004_06_kesakuu/10302301.204","1030","Sunday",179,258,"Helsinki Kaisaniemi",10.6,0,14.3,17.2,12.9,4,FALSE,0.989314203970366,0,1,FALSE,TRUE,"1030
Kulosaarensilta",897.929040630613,-2.41538527578354
"4684",1216,0,0,6.2,1.9,10.3,2007-03-31,"data/2007_03_maaliskuu/11700909.207","1170","Saturday",90,476,"Helsinki Kaisaniemi",0,0,4.5,9.6,-0.3,7,FALSE,0.18399835165768,0,1.7,FALSE,FALSE,"1170
Lauttasaaren silta",1640.57758838429,-2.41140633688744
"8399",1851,0,0,0,-2,-0.1,2008-12-25,"data/2008_12_joulukuu/11504928.208","1150","Thursday",360,51,"Helsinki Kaisaniemi",0,0,-2.1,-1.2,-2.9,8,TRUE,-0.994670819911521,0,2.1,FALSE,FALSE,"1150
Eteläesplanadi",188.938285339365,-2.38522970790067
"144",123,0,13,-1.6,-4.4,3.5,2004-04-02,"data/2004_04_huhtikuu/11201410.204","1120","Friday",93,14,"Helsinki Kaisaniemi",0,12,-1.9,1.7,-8,4,FALSE,0.23449138957041,1,0.3,FALSE,FALSE,"1120
Veräjämäki",63.0289020611747,-2.37745784073239
"6509",1485,0,0,3.5,1.3,4.9,2007-12-25,"data/2007_12_joulukuu/11504928.207","1150","Tuesday",359,60,"Helsinki Kaisaniemi",1.3,0,4.3,4.6,3.7,7,TRUE,-0.996298174934608,0,-0.8,FALSE,FALSE,"1150
Eteläesplanadi",218.539252975188,-2.37217781747627
"6285",1433,0,0,4.9,4.1,6.7,2007-11-03,"data/2007_11_marraskuu/11704419.207","1170","Saturday",307,154,"Helsinki Kaisaniemi",2.1,0,0.3,4.2,-0.5,7,TRUE,-0.702527474169157,0,4.6,FALSE,FALSE,"1170
Lauttasaaren silta",534.28929511813,-2.36382008872559
"10168",2125,0,0,11.4,7.1,15.7,2009-09-25,"data/2009_09_syyskuu/11703609.209","1170","Friday",268,1112,"Helsinki Kaisaniemi",0,0,9.3,12.2,4.5,9,FALSE,-0.107381346664163,0,2.1,FALSE,FALSE,"1170
Lauttasaaren silta",3750.73338365996,-2.35831425404967
